Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
12:52:55,53.1,71.4,53.4,71.6,52.8,71.6,53.1,71.4,53.9,71.8,54.2,71.4,53.2,71.2,52.6,72.0
12:53:07,53.2,71.4,53.4,71.4,53.0,71.6,53.0,71.4,53.9,71.6,54.1,71.4,53.1,71.2,52.7,71.8
12:53:37,53.1,71.4,53.5,71.4,52.8,71.6,53.0,71.4,53.9,71.6,54.2,71.4,53.2,71.4,52.7,72.0
12:53:52,53.2,71.4,53.5,71.4,52.9,71.6,53.3,71.4,53.9,71.6,54.3,71.4,53.4,71.4,52.8,71.8
12:54:09,53.3,71.4,53.5,71.6,53.0,71.4,53.4,71.4,54.0,71.6,54.4,71.4,53.4,71.4,52.9,71.8
12:54:22,53.4,71.4,53.7,71.4,53.1,71.6,53.4,71.4,54.3,71.6,54.5,71.4,53.6,71.4,53.0,71.8
12:54:44,53.5,71.4,53.9,71.6,53.3,71.6,53.6,71.4,54.3,71.6,54.5,71.4,53.6,71.4,53.3,72.0
12:55:01,53.6,71.6,53.9,71.6,53.5,71.6,53.8,71.4,54.4,71.6,54.7,71.4,53.6,71.6,53.3,71.8
12:55:14,53.6,71.4,54.0,71.6,53.6,71.6,53.9,71.6,54.5,71.8,54.7,71.6,53.7,71.6,53.3,71.8
12:55:31,53.7,71.6,54.1,71.6,53.8,71.6,54.0,71.4,54.6,71.6,54.8,71.6,53.8,71.6,53.7,72.0
12:56:01,53.8,71.6,54.2,71.6,53.8,71.6,54.0,71.6,54.8,71.8,54.8,71.8,53.8,71.6,53.7,72.0
12:56:18,53.8,71.6,54.4,71.6,54.0,71.8,54.2,71.4,54.9,71.6,54.8,71.8,53.8,71.8,53.8,72.0
12:56:30,53.8,71.6,54.4,71.6,54.1,71.8,54.3,71.6,55.0,71.6,54.8,71.8,53.8,71.8,53.9,72.0
12:56:45,53.8,71.6,54.4,71.6,54.1,71.8,54.3,71.6,55.1,71.8,54.8,71.8,53.8,72.0,53.9,72.0
12:56:57,53.9,71.6,54.5,71.8,54.3,71.8,54.5,71.6,55.1,71.8,54.8,72.0,53.8,72.0,54.2,72.0
12:57:40,53.9,71.8,54.5,71.8,54.3,71.8,54.5,71.8,55.3,71.8,54.8,72.0,53.8,72.0,54.2,72.0
12:57:57,53.9,71.8,54.6,72.0,54.3,71.8,54.5,71.6,55.4,72.0,54.8,72.0,53.8,72.3,54.4,72.0
12:58:22,53.9,72.0,54.6,72.1,54.4,71.8,54.5,71.8,55.4,72.0,54.8,72.1,53.7,72.3,54.4,72.0
12:58:37,53.9,72.0,54.6,72.1,54.4,72.0,54.5,71.8,55.5,72.0,54.8,72.1,53.7,72.3,54.4,72.0
12:58:59,53.9,72.0,54.6,72.1,54.5,72.0,54.6,71.8,55.5,72.0,54.7,72.3,53.6,72.5,54.5,72.0
12:59:14,53.9,72.0,54.6,72.1,54.5,72.0,54.6,71.8,55.5,72.0,54.7,72.3,53.6,72.5,54.5,72.0
12:59:39,53.9,72.1,54.6,72.3,54.5,72.0,54.6,72.0,55.5,72.0,54.6,72.3,53.5,72.5,54.5,72.0
12:59:51,53.8,72.1,54.5,72.3,54.5,72.0,54.6,72.0,55.5,72.0,54.6,72.3,53.4,72.7,54.6,72.1
13:00:16,53.9,72.1,54.5,72.3,54.5,72.0,54.6,72.0,55.5,72.1,54.5,72.5,53.4,72.7,54.6,72.1
13:00:30,53.8,72.3,54.5,72.3,54.5,72.0,54.6,72.0,55.5,72.1,54.5,72.5,53.4,72.7,54.6,72.1
