Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
16:19:14,51.6,70.5,52.2,70.7,51.9,70.9,51.4,70.7,52.9,70.9,53.0,70.5,51.1,71.1,52.4,70.9
16:19:39,51.5,70.7,52.1,70.5,51.8,70.9,51.4,70.7,52.8,70.9,52.9,70.7,51.0,71.1,52.3,70.9
16:19:57,51.5,70.9,52.1,70.7,51.7,70.9,51.3,70.7,52.6,70.9,52.9,70.7,50.9,71.1,52.2,71.1
16:20:21,51.5,71.1,52.0,70.7,51.6,70.9,51.4,70.7,52.6,70.9,52.9,70.9,50.8,71.1,52.2,71.1
16:20:46,51.4,71.4,52.0,70.7,51.6,70.9,51.3,70.7,52.6,71.1,52.9,70.9,51.0,71.2,52.2,71.1
16:21:04,51.0,71.6,51.9,70.7,51.5,70.9,51.5,70.7,52.6,71.1,53.0,70.9,51.0,71.2,52.2,71.1
16:21:23,50.9,71.8,51.9,70.7,51.5,70.9,51.6,70.7,52.6,70.9,53.1,70.9,51.0,71.2,52.2,71.1
16:21:43,50.7,72.1,51.9,70.7,51.7,70.9,51.7,70.7,52.7,71.1,53.0,71.1,51.0,71.2,52.3,71.1
16:21:58,50.2,72.5,51.9,70.7,51.8,70.9,51.8,70.9,52.7,71.1,53.1,71.1,51.0,71.4,52.4,71.1
16:22:20,50.2,72.5,52.0,70.9,51.9,70.9,52.1,70.9,52.9,71.1,53.1,71.1,50.9,71.6,52.6,71.1
16:22:45,50.2,72.7,52.0,70.9,51.9,71.1,52.1,70.9,52.9,71.1,53.1,71.2,51.0,71.6,52.7,71.2
16:23:02,50.0,73.2,52.2,70.9,52.0,71.1,52.4,70.9,52.9,71.1,53.1,71.4,51.0,71.8,52.7,71.1
16:23:32,49.9,73.4,52.3,70.9,52.2,71.1,52.6,70.9,53.1,71.2,53.1,71.4,51.1,71.8,52.9,71.2
16:24:05,49.6,73.8,52.5,71.1,52.3,71.1,52.7,70.9,53.1,71.2,53.0,71.4,51.1,72.0,52.9,71.2
16:24:32,49.6,73.8,52.5,71.1,52.3,71.1,52.8,70.9,53.2,71.2,53.0,71.6,51.1,72.0,53.0,71.2
